url	imdb_url	Title	Year
/wiki/Designing_Woman	tt0050306	Designing Woman	1957
/wiki/Destination_Moon_(film)	tt0042393	Destination Moon	1950
/wiki/The_Diary_of_Anne_Frank_(1959_film)	tt0052738	The Diary of Anne Frank	1959
/wiki/Dick_Tracy_(1990_film)	tt0099422	Dick Tracy	1990
/wiki/Dirty_Dancing	tt0092890	Dirty Dancing	1987
/wiki/The_Dirty_Dozen	tt0061578	The Dirty Dozen	1967
/wiki/The_Discreet_Charm_of_the_Bourgeoisie	tt0068361	The Discreet Charm of the Bourgeoisie	1972
/wiki/Disraeli_(1929_film)	tt0019823	Disraeli	1929
/wiki/The_Divine_Lady	tt0019824	The Divine Lady	1929
/wiki/Divorce,_Italian_Style	tt0055913	Divorce Italian Style	1961
/wiki/The_Divorcee	tt0020827	The Divorcee	1930
/wiki/Django_Unchained	tt1853728	Django Unchained	2012
/wiki/Doctor_Dolittle_(film)	tt0061584	Doctor Dolittle	1967
/wiki/Doctor_Zhivago_(film)	tt0059113	Doctor Zhivago	1965
/wiki/Dodsworth_(film)	tt0027532	Dodsworth	1936
/wiki/Dog_Day_Afternoon	tt0072890	Dog Day Afternoon	1975
/wiki/The_Dollar_Bottom	tt0080643	The Dollar Bottom	1981
/wiki/Don%27t_(film)	tt0071430	Don't	1975
/wiki/The_Dot_and_the_Line	tt0059122	The Dot and the Line: A Romance in Lower Mathematics	1965
/wiki/A_Double_Life	tt0039335	A Double Life	1947
/wiki/The_Dove_(1927_film)	tt0017822	The Dove	1927
/wiki/Dr._Jekyll_and_Mr._Hyde_(1931_film)	tt0022835	Dr. Jekyll and Mr. Hyde	1931
/wiki/How_the_Grinch_Stole_Christmas_(film)	tt0170016	How the Grinch Stole Christmas	2000
/wiki/Dreamgirls_(film)	tt0443489	Dreamgirls	2006
/wiki/Driving_Miss_Daisy	tt0097239	Driving Miss Daisy	1989
/wiki/The_Duchess_(film)	tt0864761	The Duchess	2008
/wiki/Dumbo	tt0033563	Dumbo	1941
/wiki/Dylan_Thomas_(film)	tt0055943	A Tribute to Dylan Thomas	1961
/wiki/E.T._the_Extra-Terrestrial	tt0083866	E.T. the Extra-Terrestrial	1982
/wiki/Earthquake_(film)	tt0071455	Earthquake	1974
/wiki/East_of_Eden_(film)	tt0048028	East of Eden	1955
/wiki/Easter_Parade_(film)	tt0040308	Easter Parade	1948
/wiki/Ed_Wood_(film)	tt0109707	Ed Wood	1994
/wiki/Educating_Peter	tt0104167	Educating Peter	1992
/wiki/Election_Night_(film)	tt0189179	Election Night	1999
/wiki/The_Eleanor_Roosevelt_Story	tt0059145	The Eleanor Roosevelt Story	1965
/wiki/Elizabeth_(1998_film)	tt0127536	Elizabeth	1998
/wiki/Elizabeth:_The_Golden_Age	tt0414055	Elizabeth: The Golden Age	2007
/wiki/Elmer_Gantry_(film)	tt0053793	Elmer Gantry	1960
/wiki/Emma_(1996_film)	tt0116191	Emma	1996
/wiki/Star_Wars_Episode_V:_The_Empire_Strikes_Back	tt0080684	Star Wars: Episode V - The Empire Strikes Back	1980
/wiki/The_End_of_the_Game_(film)	tt0072939	The End of the Game	1976
/wiki/The_Enemy_Below	tt0050356	The Enemy Below	1957
/wiki/The_English_Patient_(film)	tt0116209	The English Patient	1996
/wiki/Erin_Brockovich_(film)	tt0195685	Erin Brockovich	2000
/wiki/Ersatz_(film)	tt0054854	The Substitute	1961
/wiki/Eskimo_(film)	tt0023990	Eskimo	1933
/wiki/Eternal_Sunshine_of_the_Spotless_Mind	tt0338013	Eternal Sunshine of the Spotless Mind	2004
/wiki/Every_Child_(film)	tt0079126	Every Child	1979
/wiki/Evita_(film)	tt0116250	Evita	1996
/wiki/Exodus_(1960_film)	tt0053804	Exodus	1960
/wiki/The_Exorcist_(film)	tt0070047	The Exorcist	1973
/wiki/The_Face_of_Lincoln	tt0048049	The Face of Lincoln	1956
/wiki/Facing_Your_Danger	tt0038515	Facing Your Danger	1946
/wiki/The_Facts_of_Life_(film)	tt0053810	The Facts of Life	1960
/wiki/Fame_(1980_film)	tt0080716	Fame	1980
/wiki/Fanny_and_Alexander	tt0083922	Fanny and Alexander	1982
/wiki/The_Fantastic_Flying_Books_of_Mr._Morris_Lessmore	tt1778342	The Fantastic Flying Books of Mr. Morris Lessmore	2011
/wiki/Fantastic_Voyage	tt0060397	Fantastic Voyage	1966
/wiki/A_Farewell_to_Arms_(1932_film)	tt0022879	A Farewell to Arms	1932
/wiki/Fargo_(film)	tt0116282	Fargo	1996
/wiki/The_Farmer%27s_Daughter_(1947_film)	tt0039370	The Farmer's Daughter	1947
/wiki/Father_and_Daughter_(film)	tt0279079	Father and Daughter	2000
/wiki/Father_Goose_(film)	tt0058092	Father Goose	1964
/wiki/8%C2%BD	tt0056801	8½	1963
/wiki/Fellini%27s_Casanova	tt0074291	Fellini's Casanova	1976
/wiki/Ferdinand_the_Bull_(film)	tt0030128	Ferdinand the Bull	1938
/wiki/Fiddler_on_the_Roof_(film)	tt0067093	Fiddler on the Roof	1971
/wiki/The_Fighter_(2010_film)	tt0964517	The Fighter	2010
/wiki/The_Fighting_Lady	tt0036823	The Fighting Lady	1944
/wiki/Finding_Nemo	tt0266543	Finding Nemo	2003
/wiki/Finding_Neverland	tt0308644	Finding Neverland	2004
/wiki/First_Steps_(1947_film)	tt0039384	First Steps	1947
/wiki/A_Fish_Called_Wanda	tt0095159	A Fish Called Wanda	1988
/wiki/The_Fisher_King_(film)	tt0101889	The Fisher King	1991
/wiki/Flamenco_at_5:15	tt0085548	Flamenco at 5:15	1983
/wiki/Flashdance	tt0085549	Flashdance	1983
/wiki/The_Flight_of_the_Gossamer_Condor	tt0077564	The Flight of the Gossamer Condor	1978
/wiki/Flowers_and_Trees	tt0022899	Flowers and Trees	1932
/wiki/The_Fly_(1986_film)	tt0091064	The Fly	1986
/wiki/The_Fog_of_War	tt0317910	The Fog of War: Eleven Lessons from the Life of Robert S. McNamara	2003
/wiki/For_Scent-imental_Reasons	tt0041380	For Scent-imental Reasons	1949
/wiki/For_the_Birds_(film)	tt0248808	For the Birds	2000
/wiki/For_Whom_the_Bell_Tolls_(film)	tt0035896	For Whom the Bell Tolls	1943
/wiki/Forrest_Gump	tt0109830	Forrest Gump	1994
/wiki/The_Fortune_Cookie	tt0060424	The Fortune Cookie	1966
/wiki/Frank_Film	tt0070071	Frank Film	1973
/wiki/Franz_Kafka%27s_It%27s_a_Wonderful_Life	tt0106961	Franz Kafka's It's a Wonderful Life	1995
/wiki/A_Free_Soul	tt0021885	A Free Soul	1931
/wiki/Freeheld	tt0914369	Freeheld	2007
/wiki/The_French_Connection_(film)	tt0067116	The French Connection	1971
/wiki/Frenchman%27s_Creek_(film)	tt0036840	Frenchman's Creek	1944
/wiki/Frida	tt0120679	Frida	2002
/wiki/From_Here_to_Eternity	tt0045793	From Here to Eternity	1953
/wiki/From_Mao_to_Mozart:_Isaac_Stern_in_China	tt0080762	From Mao to Mozart: Isaac Stern in China	1981
/wiki/The_Fugitive_(1993_film)	tt0106977	The Fugitive	1993
/wiki/The_Full_Monty	tt0119164	The Full Monty	1997
/wiki/Funny_Girl_(film)	tt0062994	Funny Girl	1968
/wiki/A_Funny_Thing_Happened_on_the_Way_to_the_Forum_(film)	tt0060438	A Funny Thing Happened on the Way to the Forum	1966
/wiki/Gandhi_(film)	tt0083987	Gandhi	1982
